SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,CRN,EXAM_DATE,EXAM_TIME,BLDG_CODE,ROOM_CODE
THEA,103,001,14118,12/9/2022,1900,TBA,TBA
ARTS,327,001,10358,12/9/2022,1900,TBA,TBA
FILM,327,001,10357,12/9/2022,1900,TBA,TBA
FOTO,206,001,14626,12/9/2022,1900,TBA,TBA
COLL,200,002,10344,12/9/2022,1400,TBA,TBA
ARCH,403,001,12647,12/9/2022,1400,TBA,TBA
HART,265,001,14172,12/9/2022,1400,TBA,TBA
UNIV,110,003,10402,12/9/2022,1900,TBA,TBA
SOCI,325,001,14731,12/9/2022,1400,TBA,TBA
STAT,482,001,10297,12/9/2022,1900,TBA,TBA
CHIN,401,002,14229,12/9/2022,0900,TBA,TBA
HEAL,460,001,10109,12/9/2022,0900,TBA,TBA
HEAL,407,002,12767,12/9/2022,1900,TBA,TBA
ANTH,324,001,10414,12/9/2022,1900,TBA,TBA
HUMA,315,002,12809,12/9/2022,1900,FULLY,ONLINE
HART,339,001,14180,12/9/2022,1400,TBA,TBA
MECH,340,001,10025,12/9/2022,1400,TBA,TBA
MECH,340,002,11313,12/9/2022,1900,TBA,TBA
MECH,340,003,11314,12/9/2022,1400,TBA,TBA
MECH,340,004,11315,12/9/2022,1900,TBA,TBA
FOTO,210,003,14743,12/9/2022,1400,TBA,TBA
MSNE,502,001,10526,12/9/2022,0900,DCH,1070
SPAN,322,003,13955,12/9/2022,0900,TBA,TBA
SPAN,321,002,10558,12/9/2022,0900,TBA,TBA
SPAN,321,005,12165,12/9/2022,0900,TBA,TBA
MDEM,120,001,14224,12/9/2022,0900,TBA,TBA
ENGL,493,003,14280,12/9/2022,1400,TBA,TBA
UNIV,402,004,13408,12/9/2022,1900,TBA,TBA
MSNE,450,002,13549,12/9/2022,1900,TBA,TBA
MSNE,451,002,13550,12/9/2022,1900,TBA,TBA
COMP,321,001,14256,12/9/2022,1900,SEW,303
ANTH,317,001,13894,12/9/2022,1400,TBA,TBA
ANTH,517,001,13895,12/9/2022,1400,TBA,TBA
STAT,499,001,10541,12/9/2022,0900,TBA,TBA
ENGI,100,001,10716,12/9/2022,1900,TBA,TBA
ENGI,100,002,10717,12/9/2022,1400,TBA,TBA
KORE,141,002,12872,12/9/2022,0900,TBA,TBA
SPAN,141,002,10678,12/9/2022,0900,TBA,TBA
SPAN,264,004,12164,12/9/2022,0900,TBA,TBA
MATH,331,001,10688,12/9/2022,1400,TBA,TBA
CHIN,301,001,11152,12/9/2022,0900,TBA,TBA
RUSS,263,002,11966,12/9/2022,0900,TBA,TBA
SPAN,263,004,13782,12/9/2022,0900,TBA,TBA
CHEM,530,001,10619,12/9/2022,0900,ABL,130
ARAB,301,001,14251,12/9/2022,0900,TBA,TBA
JAPA,301,002,12026,12/9/2022,0900,TBA,TBA
PORT,106,001,10675,12/9/2022,0900,TBA,TBA
FREN,141,002,10672,12/9/2022,0900,TBA,TBA
ITAL,141,001,12799,12/9/2022,0900,FULLY,ONLINE
JAPA,141,003,10714,12/9/2022,0900,TBA,TBA
MSNE,500,002,13551,12/9/2022,1900,TBA,TBA
COMP,581,001,14350,12/9/2022,1900,TBA,TBA
SMGT,266,001,14787,12/9/2022,0900,TBA,TBA
BUSI,390,001,11683,12/9/2022,1900,TBA,TBA
SOCI,363,001,14098,12/9/2022,1900,TBA,TBA
ASTR,570,001,10744,12/9/2022,1900,TBA,TBA
CHEM,214,001,11014,12/9/2022,0900,TBA,TBA
COMP,412,001,10052,12/9/2022,0900,TBA,TBA
COMP,481,001,14253,12/9/2022,1900,TBA,TBA
HEAL,507,002,12768,12/9/2022,1900,TBA,TBA
