PERSON_IDENTIFIER,TERM_DESC,CRN,SUBJ_CODE,CRSE_NUMB,SECTION,SCHEDULE_TYPE,TITLE
44,Fall Semester 2022,12947,LING,200,003,LEC,INTRO TO STUDY OF LANGUAGE
44,Fall Semester 2022,14670,FWIS,155,001,SEM,WRITING ASIAN FOOD
45,Fall Semester 2022,10498,MUSI,338,011,STU,CHAMBER MUSIC - UG
45,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
45,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
45,Fall Semester 2022,10453,MUSI,491,004,STU,VIOLIN FOR MAJORS
45,Fall Semester 2022,11275,MUSI,281,002,STU,SECONDARY PIANO
45,Fall Semester 2022,12269,PHIL,281,001,LEC,HISTORY OF PHILOSOPHY I
45,Fall Semester 2022,12911,FWIS,130,001,SEM,WRITING EVERYDAY LIFE
46,Fall Semester 2022,10498,MUSI,338,011,STU,CHAMBER MUSIC - UG
46,Fall Semester 2022,11023,MUSI,341,009,STU,JUNIOR RECITAL
46,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
46,Fall Semester 2022,10139,MUSI,421,001,LEC,THE MODERN ERA
46,Fall Semester 2022,10154,MUSI,493,001,STU,VIOLA FOR MAJORS
46,Fall Semester 2022,10672,FREN,141,002,LEC,FIRST YEAR FRENCH I
46,Fall Semester 2022,12183,MUSI,416,001,LEC,ORCHESTRATION
47,Fall Semester 2022,10498,MUSI,338,011,STU,CHAMBER MUSIC - UG
47,Fall Semester 2022,10130,MUSI,321,001,LEC,BAROQUE & EARLY CLASSICAL ERAS
47,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
47,Fall Semester 2022,10093,PSYC,101,002,LEC,INTRODUCTION TO PSYCHOLOGY
47,Fall Semester 2022,10128,MUSI,311,001,LEC,THEORETICAL STUDIES III
47,Fall Semester 2022,10455,MUSI,495,002,STU,VIOLONCELLO FOR MAJORS
48,Fall Semester 2022,10500,MUSI,338,013,STU,CHAMBER MUSIC - UG
48,Fall Semester 2022,10130,MUSI,321,001,LEC,BAROQUE & EARLY CLASSICAL ERAS
48,Fall Semester 2022,10131,MUSI,331,001,LL,AURAL SKILLS & PERF TECH III
48,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
48,Fall Semester 2022,10380,MUSI,339,006,STU,UG ORCHESTRAL REP
48,Fall Semester 2022,10146,MUSI,463,001,STU,TRUMPET FOR MAJORS
48,Fall Semester 2022,13284,MUSI,281,003,STU,SECONDARY PIANO
49,Fall Semester 2022,10500,MUSI,338,013,STU,CHAMBER MUSIC - UG
49,Fall Semester 2022,13284,MUSI,281,003,STU,SECONDARY PIANO
49,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
49,Fall Semester 2022,10138,MUSI,403,001,LL,BASIC ELECTRONIC MUSIC
49,Fall Semester 2022,10380,MUSI,339,006,STU,UG ORCHESTRAL REP
49,Fall Semester 2022,10148,MUSI,467,001,STU,TUBA FOR MAJORS
