CRN,TERM_CODE,SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,SUBJ_DESC,SCHOOL_DESC,DEPT_DESC,ENRL,MAX_ENRL,MEETING,CRSE_TITLE,XLST_ENRL,XLST_MAX_ENRL,XLST_GROUP,INSTR_NAME,EXAM_TYPE
12103,202310,ARCH,350,001,Architecture,School of Architecture,Architecture,13,49,07:15PM - 08:30PM MW ANH 154,INTRO LNSCP ARCH: HIST&METHOD,16,49,5L,"Alfaro, Ernesto D.",No Final Exam
12646,202310,ARCH,403,002,Architecture,School of Architecture,Architecture,12,0,01:00PM - 03:30PM R ANH 153,DEGREE PROJECT SEMINAR,14,0,4X,"Karimi, Ali I.",Take-Home Exam
12647,202310,ARCH,403,001,Architecture,School of Architecture,Architecture,11,0,06:30PM - 09:00PM W ANH 153,DEGREE PROJECT SEMINAR,,,,"Friedman, Nathan C.",No Final Exam
12808,202310,ARCH,311,001,Architecture,School of Architecture,Architecture,42,30,01:00PM - 02:15PM TR HRZ 210,HOUSTON ARCHITECTURE,,,,"Fox, David S.",Scheduled Final Exam-Dept Room
13625,202310,ARCH,207,001,Architecture,School of Architecture,Architecture,29,45,01:00PM - 02:15PM TR ANH 117,TECHNOLOGY I,49,50,4T,"Castellon Gonzalez, Juan Jose",No Final Exam
13660,202310,ARCH,346,001,Architecture,School of Architecture,Architecture,28,60,10:50AM - 12:05PM TR ANH 117,FOUNDATIONS IN ARCH II,47,90,37,"Mehmetoglu, Yildiz",No Final Exam
13922,202310,ARCH,201,003,Architecture,School of Architecture,Architecture,9,11,01:00PM - 05:00PM MWF ANH 202,PRINCIPLES OF ARCHITECTURE III,,,,"Utting, Brittany L.",No Final Exam
14779,202310,ARCH,450,002,Architecture,School of Architecture,Architecture,13,49,01:00PM - 03:30PM T ANH 153,INTERMEDIATE ARCH SEMINAR,14,49,5Q,"Vassallo Fernandez, Jesus",No Final Exam
14901,202310,ARCH,101,002,Architecture,School of Architecture,Architecture,11,0,01:00PM - 05:00PM MWF ANH 238,PRINCIPLES OF ARCHITECTURE I,,,,"Friedman, Nathan C.",No Final Exam
14900,202310,ARCH,101,003,Architecture,School of Architecture,Architecture,11,0,01:00PM - 05:00PM MWF ANH 238,PRINCIPLES OF ARCHITECTURE I,,,,"Ansari Martinez, Amna",No Final Exam
14888,202310,ARCH,327,002,Architecture,School of Architecture,Architecture,6,49,10:30AM - 11:50AM MF ANH 153,CONSTRUCT,9,49,M2,"Samuels, Danny M.",No Final Exam
15078,202310,ARCH,105,002,Architecture,School of Architecture,Architecture,3,75,"10:50AM - 12:05PM T HRZ 212, 10:50AM - 12:05PM R HRG 126","ENVIRONMENT, CULTURE & SOCIETY",70,75,ZH,"Campana, Joseph A.",No Final Exam
15080,202310,ARCH,105,003,Architecture,School of Architecture,Architecture,3,75,"10:50AM - 12:05PM T HRZ 212, 10:50AM - 12:05PM R BKH 102","ENVIRONMENT, CULTURE & SOCIETY",70,75,ZH,"Campana, Joseph A.",No Final Exam
15082,202310,ARCH,105,004,Architecture,School of Architecture,Architecture,1,75,"10:50AM - 12:05PM T HRZ 212, 10:50AM - 12:05PM R BKH 233","ENVIRONMENT, CULTURE & SOCIETY",70,75,ZH,"Campana, Joseph A.",No Final Exam
10358,202310,ARTS,327,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,2,8,02:30PM - 05:29PM R SEW 301,DOCUMENTARY PRODUCTION,12,8,J1,"Huberman, Brian M.",No Final Exam
10228,202310,ARTS,388,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,17,15,10:50AM - 12:05PM TR SEW 405,CRIT STUDIES STUDIO PRACTICE,,,,"Bernstein, Joshua",No Final Exam
10249,202310,ARTS,499,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,15,0,06:00PM - 08:50PM TR SEW 401,SENIOR STUDIO,,,,"Bernstein, Joshua",No Final Exam
10513,202310,ARTS,280,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,2,3,01:00PM - 04:50PM M SEW 301,HISTORY & AESTHETICS OF FILM,18,20,K8,"Dove, Charles",No Final Exam
10611,202310,ARTS,165,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,14,8,09:00AM - 11:50AM TR SEW 254,BEGINNING SCULPTURE,,,,"Lapinski, Lisa",No Final Exam
11659,202310,ARTS,225,001,Visual Arts,School of Humanities,Visual and Dramatic Arts,14,8,01:00PM - 03:50PM TR SEW 413,BEGINNING DRAWING,,,,"Bernstein, Joshua",No Final Exam
11660,202310,ARTS,301,002,Visual Arts,School of Humanities,Visual and Dramatic Arts,11,8,01:00PM - 03:50PM MW SEW 425,BEGINNING PAINTING,,,,"Fowler, William G.",No Final Exam
